Frequency	Mean Amplitude	Error Amplitude	Mean Phaseshift	Error  Phaseshift	Temperature	Error  Temperature
1.510000E+2	2.662843E-6	5.362662E-8	-2.848146E-1	6.975314E-1	5.851296E+1	3.693916E-2
1.512500E+2	2.565144E-6	3.620792E-8	-5.976234E-1	6.967527E-1	5.861308E+1	3.899025E-2
1.515000E+2	2.535928E-6	2.941704E-8	-1.518303E+0	6.162111E-1	5.882100E+1	3.459457E-2
1.517500E+2	2.361915E-6	2.524208E-8	3.312476E-1	7.063869E-1	5.889031E+1	2.991476E-2
1.520000E+2	2.417241E-6	2.400119E-8	-1.827167E+0	5.653407E-1	5.886721E+1	3.172231E-2
1.522500E+2	2.330305E-6	1.610260E-8	-1.214047E+0	6.514539E-1	5.896732E+1	2.111041E-2
1.525000E+2	2.326600E-6	2.228134E-8	-2.751180E+0	3.102898E-1	5.893652E+1	2.529273E-2
1.527500E+2	2.336773E-6	2.278784E-8	-5.959194E-1	6.966625E-1	5.898273E+1	1.847769E-2
1.530000E+2	1.914619E-6	2.249073E-8	-1.207757E+0	6.464973E-1	5.903407E+1	5.159634E-3
1.532500E+2	1.692969E-6	2.248381E-8	1.891826E+0	5.647827E-1	5.899813E+1	1.524495E-2
1.535000E+2	1.682177E-6	3.736754E-8	1.554274E+0	6.105346E-1	5.886721E+1	3.172231E-2
1.537500E+2	2.723462E-6	4.509178E-8	-2.987006E+0	1.143481E-2	5.871319E+1	3.838643E-2
1.540000E+2	1.860363E-6	2.802739E-8	3.034967E+0	1.662639E-2	5.847446E+1	3.536514E-2
1.542500E+2	1.491973E-6	2.799588E-8	2.723379E+0	3.072087E-1	5.845135E+1	3.417649E-2
1.545000E+2	1.619013E-6	2.743091E-8	1.843985E+0	5.608584E-1	5.832814E+1	2.334699E-2
1.547500E+2	2.047248E-6	1.181404E-8	-2.140745E+0	5.091110E-1	5.836664E+1	2.779745E-2
1.550000E+2	2.019464E-6	1.938373E-8	-1.816011E+0	5.687187E-1	5.841285E+1	3.172231E-2
